Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
Kushi Nagar,Uttar Pradesh,VIJAY KUMAR DUBAY,Bharatiya Janata Party,516345.0,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,434555.0,81790.0
Raigad,Maharashtra,TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352.0,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),425568.0,82784.0
Gurdaspur,Punjab,SUKHJINDER SINGH RANDHAWA,Indian National Congress,364043.0,DINESH SINGH BABBU,Bharatiya Janata Party,281182.0,82861.0
SATNA,Madhya Pradesh,GANESH SINGH,Bharatiya Janata Party,459728.0,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,374779.0,84949.0
Baharampur,West Bengal,PATHAN YUSUF,All India Trinamool Congress,524516.0,ADHIR RANJAN CHOWDHURY,Indian National Congress,439494.0,85022.0
Patliputra,Bihar,MISHA BHARTI,Rashtriya Janata Dal,613283.0,RAM KRIPAL YADAV,Bharatiya Janata Party,528109.0,85174.0
Outer Manipur,Manipur,ALFRED KANNGAM S ARTHUR,Indian National Congress,384954.0,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,299536.0,85418.0
Bharuch,Gujarat,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,608157.0,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,522461.0,85696.0
Jalpaiguri,West Bengal,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,766568.0,NIRMAL CHANDRA ROY,All India Trinamool Congress,679875.0,86693.0
Kottayam,Kerala,ADV K FRANCIS GEORGE,Kerala Congress,364631.0,THOMAS CHAZHIKADAN,Kerala Congress  (M),277365.0,87266.0
Rampur,Uttar Pradesh,MOHIBBULLAH,Samajwadi Party,481503.0,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,394069.0,87434.0
Nabarangpur,Odisha,BALABHADRA MAJHI,Bharatiya Janata Party,481396.0,PRADEEP KUMAR MAJHI,Biju Janata Dal,393860.0,87536.0
GANGANAGAR,Rajasthan,KULDEEP INDORA,Indian National Congress,726492.0,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,638339.0,88153.0
Purvi Champaran,Bihar,RADHA MOHAN SINGH,Bharatiya Janata Party,542193.0,DR RAJESH KUMAR,Vikassheel Insaan Party,453906.0,88287.0
