Constituency,State,Winner,Party,"CAST(""Total Votes"" AS INTEGER)","CAST(""% of Votes"" AS FLOAT)"
JAIPUR RURAL,Rajasthan,RAO RAJENDRA SINGH,Bharatiya Janata Party,617877,48.96
Jamnagar,Gujarat,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,620049,58.98
Jamui,Bihar,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),509046,51.98
Kokrajhar,Assam,JOYANTA BASUMATARY,"United People’s Party, Liberal",488995,39.39
Madhubani,Bihar,ASHOK KUMAR YADAV,Bharatiya Janata Party,553428,53.85
Mumbai North,Maharashtra,PIYUSH GOYAL,Bharatiya Janata Party,680146,65.68
Mumbai North West,Maharashtra,RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644,47.4
New Delhi,NCT OF Delhi,BANSURI SWARAJ,Bharatiya Janata Party,453185,53.48
Raigad,Maharashtra,TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352,50.17
SHIMLA,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janata Party,519748,53.58
SIDHI,Madhya Pradesh,DR. RAJESH MISHRA,Bharatiya Janata Party,583559,50.87
Tehri Garhwal,Uttarakhand,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,462603,53.66
UDHAMPUR,Jammu and Kashmir,DR JITENDRA SINGH,Bharatiya Janata Party,571076,51.28
Uluberia,West Bengal,SAJDA AHMED,All India Trinamool Congress,724622,52.1
Uttara Kannada,Karnataka,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,782495,61.97
Wayanad,Kerala,RAHUL GANDHI,Indian National Congress,647445,59.69
Aligarh,Uttar Pradesh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,501834,44.28
Ambedkar Nagar,Uttar Pradesh,LALJI VERMA,Samajwadi Party,544959,46.3
Araku,Andhra Pradesh,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,40.96
BHILWARA,Rajasthan,DAMODAR AGARWAL,Bharatiya Janata Party,807640,61.92
BIKANER,Rajasthan,ARJUN RAM MEGHWAL,Bharatiya Janata Party,566737,50.68
Bangalore Rural,Karnataka,DR C N MANJUNATH,Bharatiya Janata Party,1079002,56.21
Bangaon,West Bengal,SHANTANU THAKUR,Bharatiya Janata Party,719505,48.19
CHIDAMBARAM,Tamil Nadu,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,505084,43.28
DAUSA,Rajasthan,MURARI LAL MEENA,Indian National Congress,646266,60.24
Firozpur,Punjab,SHER SINGH GHUBAYA,Indian National Congress,266626,23.7
Ghosi,Uttar Pradesh,RAJEEV RAI,Samajwadi Party,503131,43.73
Godda,Jharkhand,NISHIKANT DUBEY,Bharatiya Janata Party,693140,49.57
Gorakhpur,Uttar Pradesh,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,585834,50.75
Hindupur,Andhra Pradesh,B K PARTHASARATHI,Telugu Desam,725534,51.23
JHALAWAR,Rajasthan,DUSHYANT SINGH,Bharatiya Janata Party,865376,60.88
KARAULI,Rajasthan,BHAJAN LAL JATAV,Indian National Congress,530011,53.64
Kairana,Uttar Pradesh,IQRA CHOUDHARY,Samajwadi Party,528013,48.9
Kanpur,Uttar Pradesh,RAMESH AWASTHI,Bharatiya Janata Party,443055,49.93
Kaziranga,Assam,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,897043,55.04
Kodarma,Jharkhand,ANNPURNA DEVI,Bharatiya Janata Party,791657,57.79
Koppal,Karnataka,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,663511,49.93
Krishnanagar,West Bengal,MAHUA MOITRA,All India Trinamool Congress,628789,44.1
Lakshadweep,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25726,52.29
Muzaffarnagar,Uttar Pradesh,HARENDRA SINGH MALIK,Samajwadi Party,470721,43.64
NAGAPATTINAM,Tamil Nadu,SELVARAJ V,Communist Party of India,465044,47.79
Nashik,Maharashtra,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729,49.85
Palghar,Maharashtra,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244,43.69
RAIGARH,Chhattisgarh,RADHESHYAM RATHIYA,Bharatiya Janata Party,808275,55.63
SATNA,Madhya Pradesh,GANESH SINGH,Bharatiya Janata Party,459728,43.41
Sant Kabir Nagar,Uttar Pradesh,LAXMIKANT PAPPU NISHAD,Samajwadi Party,498695,45.7
Shillong,Meghalaya,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,571078,55.02
Shirur,Maharashtra,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,698692,50.83
TIRUCHIRAPPALLI,Tamil Nadu,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,542213,51.35
VIRUDHUNAGAR,Tamil Nadu,MANICKAM TAGORE B,Indian National Congress,385256,36.28
Varanasi,Uttar Pradesh,NARENDRA MODI,Bharatiya Janata Party,612970,54.24
Visakhapatnam,Andhra Pradesh,SRIBHARAT MATHUKUMILI,Telugu Desam,907467,65.42
Ananthapur,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245,53.33
BHIWANI,Haryana,DHARAMBIR SINGH,Bharatiya Janata Party,588664,49.74
Bangalore North,Karnataka,SHOBHA KARANDLAJE,Bharatiya Janata Party,986049,56.27
Bhagalpur,Bihar,AJAY KUMAR MANDAL,Janata Dal  (United),536031,50.38
Bhongir,Telangana,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,629143,44.89
Ghazipur,Uttar Pradesh,AFZAL ANSARI,Samajwadi Party,539912,46.82
JAMMU,Jammu and Kashmir,JUGAL KISHORE,Bharatiya Janata Party,687588,52.8
Jadavpur,West Bengal,SAYANI GHOSH,All India Trinamool Congress,717899,45.83
Jalna,Maharashtra,KALYAN VAIJINATHRAO KALE,Indian National Congress,607897,44.59
Jangipur,West Bengal,KHALILUR RAHAMAN,All India Trinamool Congress,544427,39.75
KANCHEEPURAM,Tamil Nadu,SELVAM. G,Dravida Munnetra Kazhagam,586044,46.53
KHARGONE,Madhya Pradesh,GAJENDRA SINGH PATEL,Bharatiya Janata Party,819863,52.6
Khammam,Telangana,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,766929,61.29
Kolkata Dakshin,West Bengal,MALA ROY,All India Trinamool Congress,615274,49.48
Kollam,Kerala,N K PREMACHANDRAN,Revolutionary Socialist Party,443628,48.45
Kozhikode,Kerala,M. K. RAGHAVAN,Indian National Congress,520421,47.74
Maldaha Uttar,West Bengal,KHAGEN MURMU,Bharatiya Janata Party,527023,37.18
TIRUPPUR,Tamil Nadu,"SUBBARAYAN, K.",Communist Party of India,472739,41.38
TIRUVALLUR,Tamil Nadu,Sasikanth Senthil,Indian National Congress,796956,56.21
Thrissur,Kerala,SURESH GOPI,Bharatiya Janata Party,412338,37.8
Wardha,Maharashtra,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,533106,48.68
ALWAR,Rajasthan,BHUPENDER YADAV,Bharatiya Janata Party,631992,50.42
Akbarpur,Uttar Pradesh,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,517423,47.6
Allahabad,Uttar Pradesh,UJJWAL RAMAN SINGH,Indian National Congress,462145,48.8
Amethi,Uttar Pradesh,KISHORI LAL,Indian National Congress,539228,54.99
Anand,Gujarat,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,612484,52.44
Attingal,Kerala,ADV ADOOR PRAKASH,Indian National Congress,328051,33.29
Banda,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406567,38.94
Bardhaman,West Bengal,AZAD KIRTI JHA,All India Trinamool Congress,720667,47.99
Begusarai,Bihar,GIRIRAJ SINGH,Bharatiya Janata Party,649331,50.15
Chikkodi,Karnataka,PRIYANKA SATISH JARKIHOLI,Indian National Congress,713461,51.21
Dhanbad,Jharkhand,DULU MAHATO,Bharatiya Janata Party,789172,55.26
East Delhi,NCT OF Delhi,HARSH MALHOTRA,Bharatiya Janata Party,664819,52.59
Ghatal,West Bengal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,837990,52.36
Guntur,Andhra Pradesh,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948,60.68
Jalaun,Uttar Pradesh,NARAYAN DAS AHIRWAR,Samajwadi Party,530180,46.96
Kendrapara,Odisha,BAIJAYANT PANDA,Bharatiya Janata Party,615705,48.21
Kheda,Gujarat,DEVUSINH CHAUHAN,Bharatiya Janata Party,744435,63.31
Ladakh,Ladakh,MOHMAD HANEEFA,Independent,65259,48.15
