Candidate,Party,Votes,State,Constituency
SHARAD KUMAR,Aam Aadmi Party,96143,NCT OF Delhi,NERELA
NEEL DAMAN KHATRI,Bharatiya Janata Party,55851,NCT OF Delhi,NERELA
PRAVEEN KUMAR BHUGRA,Indian National Congress,4643,NCT OF Delhi,NERELA
ROOPESH BHARDWAJ,Bahujan Samaj Party,1662,NCT OF Delhi,NERELA
BRIJ MOHAN,Shivsena,478,NCT OF Delhi,NERELA
SURENDER,Communist Party of India  (Marxist-Leninist)  (Liberation),363,NCT OF Delhi,NERELA
MANOJ KUMAR,Independent,218,NCT OF Delhi,NERELA
AJAY MUDGIL,Independent,191,NCT OF Delhi,NERELA
None of the Above,None of the Above,767,NCT OF Delhi,NERELA
SANDEEP KUMAR,Aam Aadmi Party,80269,NCT OF Delhi,SULTANPUR MAJRA
PARBHU DAYAL,Bharatiya Janata Party,15830,NCT OF Delhi,SULTANPUR MAJRA
JAI KISHAN,Indian National Congress,15036,NCT OF Delhi,SULTANPUR MAJRA
NATHU RAM,Bahujan Samaj Party,2838,NCT OF Delhi,SULTANPUR MAJRA
GURDAYAL SINGH,Shivsena,549,NCT OF Delhi,SULTANPUR MAJRA
SONU,Bahujan Mukti Party,309,NCT OF Delhi,SULTANPUR MAJRA
RAMESH KUMAR,Independent,148,NCT OF Delhi,SULTANPUR MAJRA
None of the Above,None of the Above,521,NCT OF Delhi,SULTANPUR MAJRA
RAGHUVINDER SHOKEEN,Aam Aadmi Party,83259,NCT OF Delhi,NANGLOI JAT
MANOJ KUMAR SHOKEEN,Bharatiya Janata Party,46235,NCT OF Delhi,NANGLOI JAT
DR. BIJENDER SINGH,Indian National Congress,15756,NCT OF Delhi,NANGLOI JAT
NARENDER BINDAL,Independent,3323,NCT OF Delhi,NANGLOI JAT
KULWANT RAI BANSAL,Bahujan Samaj Party,1173,NCT OF Delhi,NANGLOI JAT
SANDEEP KHATIK,Janata Dal  (United),538,NCT OF Delhi,NANGLOI JAT
RAGHVENDER SINGH,Independent,410,NCT OF Delhi,NANGLOI JAT
MAHESH KUMAR,Independent,289,NCT OF Delhi,NANGLOI JAT
ADARSH SHARMA,Purvanchal Mahapanchayat,280,NCT OF Delhi,NANGLOI JAT
ANIL,Independent,139,NCT OF Delhi,NANGLOI JAT
HARI SHANKAR SHARMA,All India Forward Bloc,131,NCT OF Delhi,NANGLOI JAT
DHARAM PAL BHILWARA,Hind Congress Party,103,NCT OF Delhi,NANGLOI JAT
ROHTASH SINGH,Sathi Aur Aapka Faisala Party,102,NCT OF Delhi,NANGLOI JAT
DR. TARUN KUMAR,Vishva SHakti Party,62,NCT OF Delhi,NANGLOI JAT
RATAN LAL GUPTA (ADVOCATE),Delhi Janta Party,58,NCT OF Delhi,NANGLOI JAT
None of the Above,None of the Above,517,NCT OF Delhi,NANGLOI JAT
RAKHI BIRLA,Aam Aadmi Party,60534,NCT OF Delhi,MANGOL PURI
RAJ KUMAR CHAUHAN,Indian National Congress,37835,NCT OF Delhi,MANGOL PURI
SURJEET KUMAR,Bharatiya Janata Party,27889,NCT OF Delhi,MANGOL PURI
DEVENDER KUMAR,Bahujan Samaj Party,1659,NCT OF Delhi,MANGOL PURI
RAJU,Shivsena,330,NCT OF Delhi,MANGOL PURI
VIJAY MAHAROLIYA,Independent,179,NCT OF Delhi,MANGOL PURI
None of the Above,None of the Above,534,NCT OF Delhi,MANGOL PURI
VIJENDER KUMAR,Bharatiya Janata Party,59866,NCT OF Delhi,ROHINI
C.L. GUPTA,Aam Aadmi Party,54499,NCT OF Delhi,ROHINI
SUKHBIR SHARMA,Indian National Congress,3399,NCT OF Delhi,ROHINI
RAJU,Dalit Mazdoor Kishan Party,1406,NCT OF Delhi,ROHINI
DEEPAK KUMAR,Bahujan Samaj Party,349,NCT OF Delhi,ROHINI
SARABJIT SINGH,Independent,66,NCT OF Delhi,ROHINI
None of the Above,None of the Above,557,NCT OF Delhi,ROHINI
BANDANA KUMARI,Aam Aadmi Party,62656,NCT OF Delhi,SHALIMAR BAGH
REKHA GUPTA,Bharatiya Janata Party,51678,NCT OF Delhi,SHALIMAR BAGH
SULEKH AGGARWAL,Indian National Congress,3200,NCT OF Delhi,SHALIMAR BAGH
LALIT KUMAR GAUTAM,Bahujan Samaj Party,892,NCT OF Delhi,SHALIMAR BAGH
AVINASH KUMAR JHA,Independent,430,NCT OF Delhi,SHALIMAR BAGH
HARISH CHANDER TIWARI,Independent,286,NCT OF Delhi,SHALIMAR BAGH
ASHOK KUMAR,Independent,219,NCT OF Delhi,SHALIMAR BAGH
WAJID ALI,Independent,90,NCT OF Delhi,SHALIMAR BAGH
CA SATISH SINGAL,Independent,86,NCT OF Delhi,SHALIMAR BAGH
None of the Above,None of the Above,627,NCT OF Delhi,SHALIMAR BAGH
SATYENDAR JAIN,Aam Aadmi Party,51530,NCT OF Delhi,SHAKUR BASTI
S C VATS,Bharatiya Janata Party,48397,NCT OF Delhi,SHAKUR BASTI
CHAMAN LAL SHARMA,Indian National Congress,4812,NCT OF Delhi,SHAKUR BASTI
DR. AMAR NATH YADAV,Kalyankari Jantantrik Party,234,NCT OF Delhi,SHAKUR BASTI
LAXMAN,Bahujan Samaj Party,233,NCT OF Delhi,SHAKUR BASTI
SAPNA SHARMA,Naya Daur Party,103,NCT OF Delhi,SHAKUR BASTI
JUGAL KISHOR,Independent,87,NCT OF Delhi,SHAKUR BASTI
SUNITA SACHDEVA,Delhi Janta Party,53,NCT OF Delhi,SHAKUR BASTI
None of the Above,None of the Above,438,NCT OF Delhi,SHAKUR BASTI
JITENDER SINGH TOMAR,Aam Aadmi Party,63012,NCT OF Delhi,TRI NAGAR
NAND KISHORE GARG,Bharatiya Janata Party,40701,NCT OF Delhi,TRI NAGAR
ANIL BHARDWAJ,Indian National Congress,7939,NCT OF Delhi,TRI NAGAR
NITYA NAND SINGH,Bahujan Samaj Party,317,NCT OF Delhi,TRI NAGAR
LALITA AGARWAL,Independent,275,NCT OF Delhi,TRI NAGAR
KHALID ALI,Independent,139,NCT OF Delhi,TRI NAGAR
MOHAMMAD SALEEM,Nationalist Congress Party,101,NCT OF Delhi,TRI NAGAR
NEELAM NIGAM,Janata Dal  (United),80,NCT OF Delhi,TRI NAGAR
NANDKISHOR PRASAD YADAV,Independent,61,NCT OF Delhi,TRI NAGAR
AMIT KUMAR,Independent,33,NCT OF Delhi,TRI NAGAR
SANDEEP KANSAL,Shivsena,28,NCT OF Delhi,TRI NAGAR
MANISH KUKREJA,Samras Samaj Party,18,NCT OF Delhi,TRI NAGAR
BASHIRUDDIN,All India Minorities Front,7,NCT OF Delhi,TRI NAGAR
None of the Above,None of the Above,407,NCT OF Delhi,TRI NAGAR
RAJESH GUPTA,Aam Aadmi Party,61208,NCT OF Delhi,WAZIRPUR
DR. MAHANDER NAGPAL,Bharatiya Janata Party,39164,NCT OF Delhi,WAZIRPUR
HARI SHANKAR GUPTA,Indian National Congress,8371,NCT OF Delhi,WAZIRPUR
RAM DHANI,Bahujan Samaj Party,1185,NCT OF Delhi,WAZIRPUR
RAJESH KUMAR,Independent,547,NCT OF Delhi,WAZIRPUR
H.D. ANSARI,Independent,231,NCT OF Delhi,WAZIRPUR
AJAY KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),183,NCT OF Delhi,WAZIRPUR
SUNIL KUMAR,Asankhya Samaj Party,70,NCT OF Delhi,WAZIRPUR
MUNSHI LAL PRAJAPATI,Lokpriya Samaj Party,62,NCT OF Delhi,WAZIRPUR
INDARJEET YADAV,Samras Samaj Party,53,NCT OF Delhi,WAZIRPUR
RAMESH CHANDRA,Prajatantrik Samajvadi Party,43,NCT OF Delhi,WAZIRPUR
None of the Above,None of the Above,468,NCT OF Delhi,WAZIRPUR
AKHILESH PATI TRIPATHI,Aam Aadmi Party,54628,NCT OF Delhi,MODEL TOWN
VIVEK  GARG,Bharatiya Janata Party,37922,NCT OF Delhi,MODEL TOWN
KANWAR KARAN SINGH,Indian National Congress,8992,NCT OF Delhi,MODEL TOWN
GAUTAM,Independent,1176,NCT OF Delhi,MODEL TOWN
JEETENDER,Bahujan Samaj Party,601,NCT OF Delhi,MODEL TOWN
VINOD K. JAIN,Independent,146,NCT OF Delhi,MODEL TOWN
SACHIN JHA,Independent,129,NCT OF Delhi,MODEL TOWN
None of the Above,None of the Above,690,NCT OF Delhi,MODEL TOWN
SOM DUTT,Aam Aadmi Party,67507,NCT OF Delhi,SADAR BAZAR
PARVEEN KUMAR JAIN,Bharatiya Janata Party,33192,NCT OF Delhi,SADAR BAZAR
AJAY MAKAN,Indian National Congress,16331,NCT OF Delhi,SADAR BAZAR
MIRZA ALI RAZA,Bahujan Samaj Party,748,NCT OF Delhi,SADAR BAZAR
MAN MOHAN,Shivsena,257,NCT OF Delhi,SADAR BAZAR
GHANSHYAM DASS,Independent,189,NCT OF Delhi,SADAR BAZAR
PRASHANT YADAV,Independent,172,NCT OF Delhi,SADAR BAZAR
RITU KAUSHIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),130,NCT OF Delhi,SADAR BAZAR
AJAY,Independent,119,NCT OF Delhi,SADAR BAZAR
MOHD FURQAN,Hind Congress Party,81,NCT OF Delhi,SADAR BAZAR
DAL CHAND,Independent,56,NCT OF Delhi,SADAR BAZAR
VED PARKASH,Asankhya Samaj Party,44,NCT OF Delhi,SADAR BAZAR
MAHENDER PRATAP SINGH SIKARWAR,Republican Party of India (A),38,NCT OF Delhi,SADAR BAZAR
None of the Above,None of the Above,412,NCT OF Delhi,SADAR BAZAR
