State,Constituency,Candidate,Party,Votes,Rnk
Bihar,Samastipur (SC),RAM CHANDRA PASWAN,Lok Jan Shakti Party,270401,1
Bihar,Samastipur (SC),DR. ASHOK KUMAR,Indian National Congress,263529,2
Chhattisgarh,KORBA,DR. BANSHILAL MAHTO,Bharatiya Janata Party,439002,1
Chhattisgarh,KORBA,CHARAN DAS MAHANT,Indian National Congress,434737,2
Goa,South Goa,ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party,198776,1
Goa,South Goa,ALEIXO REGINALDO LOURENCO,Indian National Congress,166446,2
Gujarat,Porbandar,RADADIYA VITHALBHAI  HANSRAJBHAI,Bharatiya Janata Party,508437,1
Gujarat,Porbandar,JADEJA KANDHALBHAI SARMANBHAI,Nationalist Congress Party,240466,2
Jharkhand,Godda,NISHIKANT DUBEY,Bharatiya Janata Party,380500,1
Jharkhand,Godda,FURKAN ANSARI,Indian National Congress,319818,2
Jharkhand,Kodarma,RAVINDRA KR. RAY,Bharatiya Janata Party,365410,1
Jharkhand,Kodarma,RAJKUMAR YADAV,Communist Party of India  (Marxist-Leninist)  (Liberation),266756,2
Kerala,Kollam,N.K.PREMACHANDRAN,Revolutionary Socialist Party,408528,1
Kerala,Kollam,M.A. BABY,Communist Party of India  (Marxist),370879,2
Kerala,Kozhikode,M .K RAGHAVAN,Indian National Congress,397615,1
Kerala,Kozhikode,A.VIJAYARAGHAVAN,Communist Party of India  (Marxist),380732,2
Kerala,Thrissur,C. N. JAYADEVAN,Communist Party of India,389209,1
Kerala,Thrissur,K. P. DHANAPALAN,Indian National Congress,350982,2
Lakshadweep,Lakshadweep,MOHAMMED FAIZAL P.P.,Nationalist Congress Party,21665,1
Lakshadweep,Lakshadweep,HAMDULLAH SAYEED,Indian National Congress,20130,2
Maharashtra,Amravati,ADSUL ANANDRAO VITHOBA,Shivsena,467212,1
Maharashtra,Amravati,NAVNEET RAVI RANA,Nationalist Congress Party,329280,2
Maharashtra,Raver,KHADASE RAKSHA NIKHIL,Bharatiya Janata Party,605452,1
Maharashtra,Raver,MANISHDADA JAIN,Nationalist Congress Party,287384,2
Odisha,Sambalpur,NAGENDRA KUMAR PRADHAN,Biju Janata Dal,358618,1
Odisha,Sambalpur,SURESH PUJARI,Bharatiya Janata Party,328042,2
Punjab,Anandpur Sahib,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,347394,1
Punjab,Anandpur Sahib,AMBIKA SONI,Indian National Congress,323697,2
Punjab,Patiala,DR. DHARAM VIRA GANDHI,Aam Aadmi Party,365671,1
Punjab,Patiala,PRENEET KAUR,Indian National Congress,344729,2
Rajasthan,BHARATPUR,BAHADUR SINGH,Bharatiya Janata Party,579825,1
Rajasthan,BHARATPUR,DR.SURESH JATAV,Indian National Congress,334357,2
Rajasthan,SAWAI MADHOPUR,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,548179,1
Rajasthan,SAWAI MADHOPUR,MOHAMMED AZHARUDDIN,Indian National Congress,412868,2
Rajasthan,Sikar,SUMEDHANAND SARASWATI,Bharatiya Janata Party,499428,1
Rajasthan,Sikar,PRATAP SINGH JAT,Indian National Congress,260232,2
Sikkim,Sikkim,PREM DAS RAI,Sikkim Democratic Front,163698,1
Sikkim,Sikkim,TEK NATH DHAKAL,Sikkim Krantikari Morcha,121956,2
Tamil Nadu,Krishnagiri,ASHOK KUMAR.K,All India Anna Dravida Munnetra Kazhagam,480491,1
Tamil Nadu,Krishnagiri,CHINNA PILLAPPA.P,Dravida Munnetra Kazhagam,273900,2
Tamil Nadu,Nilgiris,"GOPALAKRISHNAN, C.",All India Anna Dravida Munnetra Kazhagam,463700,1
Tamil Nadu,Nilgiris,"RAJA, A.",Dravida Munnetra Kazhagam,358760,2
Uttar Pradesh,Amroha,KANWAR SINGH TANWAR,Bharatiya Janata Party,528880,1
Uttar Pradesh,Amroha,HUMERA AKHTAR,Samajwadi Party,370666,2
Uttar Pradesh,Ballia,BHARAT SINGH,Bharatiya Janata Party,359758,1
Uttar Pradesh,Ballia,NEERAJ SHEKHAR,Samajwadi Party,220324,2
Uttar Pradesh,Kheri,AJAY KUMAR,Bharatiya Janata Party,398578,1
Uttar Pradesh,Kheri,ARVIND GIRI,Bahujan Samaj Party,288304,2
Uttar Pradesh,Maharajganj,PANKAJ,Bharatiya Janata Party,471542,1
Uttar Pradesh,Maharajganj,KASHI NATH SHUKLA,Bahujan Samaj Party,231084,2
Uttarakhand,Hardwar,RAMESH POKHRIYAL NISHANK,Bharatiya Janata Party,592320,1
Uttarakhand,Hardwar,RENUKA RAWAT,Indian National Congress,414498,2
West Bengal,Asansol,BABUL SUPRIYA BARAL (BABUL SUPRIYO),Bharatiya Janata Party,419983,1
West Bengal,Asansol,DOLA SEN,All India Trinamool Congress,349503,2
West Bengal,Joynagar,PRATIMA MONDAL,All India Trinamool Congress,494746,1
West Bengal,Joynagar,SUBHAS NASKAR,Revolutionary Socialist Party,386362,2
Andhra Pradesh,Adilabad,GODAM NAGESH,Telangana Rashtra Samithi,430847,1
Andhra Pradesh,Adilabad,NARESH,Indian National Congress,259557,2
Andhra Pradesh,Ongole,Y.V.SUBBA REDDY,Yuvajana Sramika Rythu Congress Party,589960,1
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Telugu Desam,574302,2
Arunachal Pradesh,ARUNACHAL EAST,NINONG ERING,Indian National Congress,118455,1
Arunachal Pradesh,ARUNACHAL EAST,TAPIR GAO,Bharatiya Janata Party,105977,2
Assam,Gauhati,BIJOYA CHAKRAVARTY,Bharatiya Janata Party,764985,1
Assam,Gauhati,MANASH BORAH,Indian National Congress,449201,2
Gujarat,Bhavnagar,DR. BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,549529,1
Gujarat,Bhavnagar,RATHOD PRAVINBHAI JINABHAI,Indian National Congress,254041,2
Haryana,Ambala,RATTAN LAL KATARIA,Bharatiya Janata Party,612121,1
Haryana,Ambala,RAJ KUMAR BALMIKI,Indian National Congress,272047,2
Jharkhand,Jamshedpur,BIDYUT BARAN MAHATO,Bharatiya Janata Party,464153,1
Jharkhand,Jamshedpur,AJAY KUMAR,Jharkhand Vikas Morcha (Prajatantrik),364277,2
Jharkhand,Singhbhum,LAXMAN GILUWA,Bharatiya Janata Party,303131,1
Jharkhand,Singhbhum,GEETA KORA,Jai Bharat Samanta Party,215607,2
Karnataka,Bangalore North,D.V SADANANDA GOWDA,Bharatiya Janata Party,718326,1
Karnataka,Bangalore North,C.NARAYANA SWAMY,Indian National Congress,488562,2
Kerala,Alathur,P.K.BIJU,Communist Party of India  (Marxist),411808,1
Kerala,Alathur,SHEEBA,Indian National Congress,374496,2
Kerala,Palakkad,M B RAJESH,Communist Party of India  (Marxist),412897,1
Kerala,Palakkad,M P VEERENDRAKUMAR,Socialist Janata (Democratic),307597,2
Madhya Pradesh,KHARGONE,SUBHASH PATEL,Bharatiya Janata Party,649354,1
Madhya Pradesh,KHARGONE,RAMESH PATEL,Indian National Congress,391475,2
Maharashtra,Hatkanangle,RAJU SHETTY,Swabhimani Paksha,640428,1
Maharashtra,Hatkanangle,AWADE KALLAPPA BABURAO,Indian National Congress,462618,2
Maharashtra,Madha,MOHITE PATIL VIJAYSINH SHANKARRAO,Nationalist Congress Party,489989,1
Maharashtra,Madha,SADABHAU RAMCHANDRA KHOT,Swabhimani Paksha,464645,2
Maharashtra,Parbhani,JADHAV SANJAY (BANDU) HARIBHAU,Shivsena,578455,1
Maharashtra,Parbhani,BHAMBALE VIJAY MANIKRAO,Nationalist Congress Party,451300,2
NCT OF Delhi,NORTH EAST DELHI,MANOJ TIWARI,Bharatiya Janata Party,596125,1
NCT OF Delhi,NORTH EAST DELHI,ANAND KUMAR,Aam Aadmi Party,452041,2
Odisha,Jagatsinghpur,KULAMANI SAMAL,Biju Janata Dal,624492,1
Odisha,Jagatsinghpur,BIBHU PRASAD TARAI,Indian National Congress,348098,2
Odisha,Koraput,JHINA HIKAKA,Biju Janata Dal,395109,1
Odisha,Koraput,GIRIDHAR GAMANG,Indian National Congress,375781,2
Rajasthan,Bikaner,ARJUN RAM MEGHWAL,Bharatiya Janata Party,584932,1
Rajasthan,Bikaner,ER. SHANKAR PANNU,Indian National Congress,276853,2
Tamil Nadu,Erode,SELVAKUMARA CHINNAYAN S,All India Anna Dravida Munnetra Kazhagam,466995,1
Tamil Nadu,Erode,GANESHAMURTHI.A,Marumalarchi Dravida Munnetra Kazhagam,255432,2
Tamil Nadu,Karur,"THAMBIDURAI,M.",All India Anna Dravida Munnetra Kazhagam,540722,1
Tamil Nadu,Karur,"CHINNASAMY, M.",Dravida Munnetra Kazhagam,345475,2
Tamil Nadu,Pollachi,MAHENDRAN.C,All India Anna Dravida Munnetra Kazhagam,417092,1
Tamil Nadu,Pollachi,ESWARAN.E.R.,Bharatiya Janata Party,276118,2
Tamil Nadu,Thanjavur,PARASURAMAN.K,All India Anna Dravida Munnetra Kazhagam,510307,1
Tamil Nadu,Thanjavur,BAALU.T.R,Dravida Munnetra Kazhagam,366188,2
Tamil Nadu,Tirunelveli,PRABAKARAN.K.R.P,All India Anna Dravida Munnetra Kazhagam,398139,1
Tamil Nadu,Tirunelveli,DEVADASA SUNDARAM,Dravida Munnetra Kazhagam,272040,2
Uttar Pradesh,Bahraich,SADHVI SAVITRI BAI FOOLE,Bharatiya Janata Party,432392,1
Uttar Pradesh,Bahraich,SHABBIR AHMAD,Samajwadi Party,336747,2
Uttar Pradesh,Kannauj,DIMPLE YADAV,Samajwadi Party,489164,1
Uttar Pradesh,Kannauj,SUBRAT PATHAK,Bharatiya Janata Party,469257,2
Uttar Pradesh,Mathura,HEMA MALINI,Bharatiya Janata Party,574633,1
Uttar Pradesh,Mathura,JAYANT CHAUDHARY,Rashtriya Lok Dal,243890,2
Uttar Pradesh,Pilibhit,MANEKA SANJAY GANDHI,Bharatiya Janata Party,546934,1
Uttar Pradesh,Pilibhit,BUDHSEN VERMA,Samajwadi Party,239882,2
Uttar Pradesh,Salempur,RAVINDRA KUSHAWAHA,Bharatiya Janata Party,392213,1
Uttar Pradesh,Salempur,"RAVI SHANKER SINGH""PAPPU""",Bahujan Samaj Party,159871,2
Uttar Pradesh,Sultanpur,FEROZE VARUN GANDHI,Bharatiya Janata Party,410348,1
Uttar Pradesh,Sultanpur,PAWAN PANDEY,Bahujan Samaj Party,231446,2
West Bengal,Bankura,SREEMATI  DEV VARMA (MOON MOON SEN),All India Trinamool Congress,483455,1
West Bengal,Bankura,ACHARIA BASUDEB,Communist Party of India  (Marxist),384949,2
West Bengal,Barrackpore,DINESH TRIVEDI,All India Trinamool Congress,479206,1
West Bengal,Barrackpore,SUBHASHINI ALI,Communist Party of India  (Marxist),272433,2
West Bengal,Bishnupur,KHAN SAUMITRA,All India Trinamool Congress,578870,1
West Bengal,Bishnupur,SUSMITA BAURI,Communist Party of India  (Marxist),429185,2
West Bengal,Jhargram,UMA SAREN,All India Trinamool Congress,674504,1
West Bengal,Jhargram,DR. PULIN BIHARI BASKE,Communist Party of India  (Marxist),326621,2
West Bengal,Kanthi,ADHIKARI SISIR KUMAR,All India Trinamool Congress,676749,1
West Bengal,Kanthi,SINHA TAPAS,Communist Party of India  (Marxist),447259,2
Andhra Pradesh,Nagarkurnool,YELLAIAH NANDI,Indian National Congress,420075,1
Andhra Pradesh,Nagarkurnool,DR. MANDA JAGANNATH,Telangana Rashtra Samithi,403399,2
Andhra Pradesh,Nizamabad,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,439307,1
Andhra Pradesh,Nizamabad,MADHU YASKHI GOUD,Indian National Congress,272123,2
Andhra Pradesh,Secundrabad,BANDARU DATTATREYA,Bharatiya Janata Party,438271,1
Andhra Pradesh,Secundrabad,M.ANJAN KUMAR YADAV,Indian National Congress,183536,2
Assam,Dhubri,BADRUDDIN AJMAL,All India United Democratic Front,592569,1
Assam,Dhubri,WAZED ALI CHOUDHURY,Indian National Congress,362839,2
Bihar,Aurangabad,SUSHIL KUMAR SINGH,Bharatiya Janata Party,307941,1
Bihar,Aurangabad,NIKHIL KUMAR,Indian National Congress,241594,2
Bihar,Banka,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,285150,1
Bihar,Banka,PUTUL KUMARI,Bharatiya Janata Party,275006,2
