State,Constituency,Candidate,Party,Votes,Rnk
Himachal Pradesh,Shimla,VIRENDER KASHYAP,Bharatiya Janata Party,385973,1
Himachal Pradesh,Shimla,MOHAN LAL BRAKTA,Indian National Congress,301786,2
Jharkhand,Lohardaga,SUDARSHAN BHAGAT,Bharatiya Janata Party,226666,1
Jharkhand,Lohardaga,RAMESHWAR ORAON,Indian National Congress,220177,2
Kerala,Kottayam,JOSE K. MANI,Kerala Congress  (M),424194,1
Kerala,Kottayam,ADV.MATHEW T. THOMAS,Janata Dal  (Secular),303595,2
Kerala,Mavelikkara,KODIKUNNIL SURESH,Indian National Congress,402432,1
Kerala,Mavelikkara,CHENGARA SURENDRAN,Communist Party of India,369695,2
Madhya Pradesh,BHIND,DR. BHAGIRATH PRASAD,Bharatiya Janata Party,404474,1
Madhya Pradesh,BHIND,IMARTI DEVI,Indian National Congress,244513,2
Maharashtra,Nashik,GODSE HEMANT TUKARAM,Shivsena,494735,1
Maharashtra,Nashik,CHHAGAN BHUJBAL,Nationalist Congress Party,307399,2
Maharashtra,Palghar,ADV. CHINTAMAN NAVASHA WANGA,Bharatiya Janata Party,533201,1
Maharashtra,Palghar,BALIRAM SUKUR JADHAV,Bahujan Vikas Aaghadi,293681,2
Maharashtra,Shirur,ADHALRAO SHIVAJI DATTATREY,Shivsena,643415,1
Maharashtra,Shirur,NIKAM DEVDATTA JAYWANT,Nationalist Congress Party,341601,2
Meghalaya,Tura,PURNO AGITOK SANGMA,National Peoples Party,239301,1
Meghalaya,Tura,DARYL WILLIAM CH MOMIN,Indian National Congress,199585,2
NCT OF Delhi,SOUTH DELHI,RAMESH BIDHURI,Bharatiya Janata Party,497980,1
NCT OF Delhi,SOUTH DELHI,COL DEVINDER SEHRAWAT,Aam Aadmi Party,390980,2
Odisha,Dhenkanal,TATHAGATA SATPATHY,Biju Janata Dal,453277,1
Odisha,Dhenkanal,RUDRA NARAYAN PANY,Bharatiya Janata Party,315937,2
Puducherry,Puducherry,R. RADHAKRISHNAN,All India N.R. Congress,255826,1
Puducherry,Puducherry,V. NARAYANASAMY,Indian National Congress,194972,2
Punjab,Gurdaspur,VINOD KHANNA,Bharatiya Janata Party,482255,1
Punjab,Gurdaspur,PARTAP SINGH BAJWA,Indian National Congress,346190,2
Rajasthan,Dausa,HARISH CHANDRA MEENA,Bharatiya Janata Party,315059,1
Rajasthan,Dausa,DR. KIRODI LAL,National Peoples Party,269655,2
Rajasthan,Pali,P P CHOUDHARY,Bharatiya Janata Party,711772,1
Rajasthan,Pali,MUNNI DEVI GODARA,Indian National Congress,312733,2
Tamil Nadu,Kallakurichi,KAMARAJ. K,All India Anna Dravida Munnetra Kazhagam,533383,1
Tamil Nadu,Kallakurichi,MANIMARAN. R,Dravida Munnetra Kazhagam,309876,2
Tamil Nadu,Kancheepuram,MARAGATHAM  K,All India Anna Dravida Munnetra Kazhagam,499395,1
Tamil Nadu,Kancheepuram,SELVAM  G,Dravida Munnetra Kazhagam,352529,2
Tamil Nadu,Namakkal,SUNDARAM P.R,All India Anna Dravida Munnetra Kazhagam,563272,1
Tamil Nadu,Namakkal,GANDHISELVAN.S,Dravida Munnetra Kazhagam,268898,2
Tamil Nadu,Viluppuram,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,482704,1
Tamil Nadu,Viluppuram,MUTHAIYAN K DR,Dravida Munnetra Kazhagam,289337,2
Uttar Pradesh,Ghazipur,MANOJ SINHA,Bharatiya Janata Party,306929,1
Uttar Pradesh,Ghazipur,SMT SHIVKANYA KUSHWAHA,Samajwadi Party,274477,2
West Bengal,Cooch behar,RENUKA SINHA,All India Trinamool Congress,526499,1
West Bengal,Cooch behar,DIPAK KUMAR ROY,All India Forward Bloc,439392,2
West Bengal,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,508481,1
West Bengal,Diamond harbour,DR. ABUL HASNAT,Communist Party of India  (Marxist),437183,2
Andhra Pradesh,Eluru,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,623471,1
Andhra Pradesh,Eluru,THOTA CHANDRA SEKHAR,Yuvajana Sramika Rythu Congress Party,521545,2
Andhra Pradesh,Nellore,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,576396,1
Andhra Pradesh,Nellore,ADALA PRABHAKARA REDDY,Telugu Desam,562918,2
Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,601752,1
Andhra Pradesh,Rajampet,D.  PURANDESWARI,Bharatiya Janata Party,426990,2
Bihar,Munger,VEENA DEVI,Lok Jan Shakti Party,352911,1
Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),243827,2
Bihar,Saran,RAJIV PRATAP RUDY,Bharatiya Janata Party,355120,1
Bihar,Saran,RABRI DEVI,Rashtriya Janata Dal,314172,2
Bihar,Sheohar,RAMA DEVI,Bharatiya Janata Party,372506,1
Bihar,Sheohar,MD ANWARUL HAQUE,Rashtriya Janata Dal,236267,2
Chhattisgarh,CHAMPA,KAMLA PATLE,Bharatiya Janata Party,518909,1
Chhattisgarh,CHAMPA,PREM CHAND JAYASI,Indian National Congress,343948,2
Gujarat,Vadodara,NARENDRA MODI,Bharatiya Janata Party,845464,1
Gujarat,Vadodara,MISTRI MADHUSUDAN DEVRAM,Indian National Congress,275336,2
Gujarat,Valsad,DR. K.C.PATEL,Bharatiya Janata Party,617772,1
Gujarat,Valsad,KISHANBHAI  VESTABHAI PATEL,Indian National Congress,409768,2
Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,Bharatiya Janata Party,448035,1
Himachal Pradesh,Hamirpur,RAJINDER SINGH RANA,Indian National Congress,349632,2
Karnataka,Bellary,B. SREERAMULU,Bharatiya Janata Party,534406,1
Karnataka,Bellary,N.Y. HANUMANTAPPA,Indian National Congress,449262,2
Karnataka,Davanagere,G M SIDDESHWARA,Bharatiya Janata Party,518894,1
Karnataka,Davanagere,S.S. MALLIKARJUN,Indian National Congress,501287,2
Karnataka,Gulbarga,MALLIKARJUN KHARGE,Indian National Congress,507193,1
Karnataka,Gulbarga,REVUNAIK BELAMAGI,Bharatiya Janata Party,432460,2
Karnataka,Mysore,PRATHAP SIMHA,Bharatiya Janata Party,503908,1
Karnataka,Mysore,ADAGOORU H VISHWANATH,Indian National Congress,472300,2
Madhya Pradesh,BETUL,JYOTI DHURVE,Bharatiya Janata Party,643651,1
Madhya Pradesh,BETUL,"AJAY SHAH ""MAKRAI""",Indian National Congress,315037,2
Madhya Pradesh,DEWAS,MANOHAR UNTWAL,Bharatiya Janata Party,665646,1
Madhya Pradesh,DEWAS,SAJJAN SINGH VERMA,Indian National Congress,405333,2
Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,717357,1
Madhya Pradesh,KHANDWA,ARUN SUBHASH CHANDRA YADAV,Indian National Congress,457643,2
Madhya Pradesh,MORENA,ANOOP MISHRA,Bharatiya Janata Party,375567,1
Madhya Pradesh,MORENA,BRINDAWAN SINGH SIKARWAR,Bahujan Samaj Party,242586,2
Maharashtra,Ahmadnagar,GANDHI DILIPKUMAR MANSUKHLAL,Bharatiya Janata Party,605185,1
Maharashtra,Ahmadnagar,RAJEEV APPASAHEB RAJALE,Nationalist Congress Party,396063,2
Maharashtra,Hingoli,RAJEEV SHANKARRAO SATAV,Indian National Congress,467397,1
Maharashtra,Hingoli,WANKHEDE SUBHASH BAPURAO,Shivsena,465765,2
Maharashtra,Nanded,ASHOK SHANKARRAO CHAVAN,Indian National Congress,493075,1
Maharashtra,Nanded,D. B. PATIL,Bharatiya Janata Party,411620,2
Maharashtra,Osmanabad,GAIKWAD RAVINDRA VISHWANATH,Shivsena,607699,1
Maharashtra,Osmanabad,PATIL PADMASINHA BAJIRAO,Nationalist Congress Party,373374,2
Maharashtra,Ramtek,KRUPAL BALAJI TUMANE,Shivsena,519892,1
Maharashtra,Ramtek,MUKUL WASNIK,Indian National Congress,344101,2
Manipur,Outer manipur,THANGSO BAITE,Indian National Congress,296770,1
Manipur,Outer manipur,SOSO LORHO,Naga Peoples Front,281133,2
Odisha,Cuttack,BHARTRUHARI MAHATAB,Biju Janata Dal,526085,1
Odisha,Cuttack,APARAJITA  MOHANTY,Indian National Congress,219323,2
Odisha,Jajpur,RITA TARAI,Biju Janata Dal,541349,1
Odisha,Jajpur,ASOK DAS,Indian National Congress,221078,2
Odisha,Keonjhar,SAKUNTALA LAGURI,Biju Janata Dal,434471,1
Odisha,Keonjhar,ANANTA NAYAK,Bharatiya Janata Party,277154,2
Punjab,Khadoor Sahib,RANJIT SINGH BRAHMPURA,Shiromani Akali Dal,467332,1
Punjab,Khadoor Sahib,HARMINDER SINGH GILL,Indian National Congress,366763,2
Rajasthan,Jaipur Rural,RAJYAVARDHAN SINGH RATHORE,Bharatiya Janata Party,632930,1
Rajasthan,Jaipur Rural,DR. C.P. JOSHI,Indian National Congress,300034,2
Tamil Nadu,Vellore,"SENGUTTUVAN, B.",All India Anna Dravida Munnetra Kazhagam,383719,1
Tamil Nadu,Vellore,"SHANMUGAM, A.C.",Bharatiya Janata Party,324326,2
Uttar Pradesh,Moradabad,KUNWER SARVESH KUMAR,Bharatiya Janata Party,485224,1
Uttar Pradesh,Moradabad,DR S T HASAN,Samajwadi Party,397720,2
Uttar Pradesh,Nagina,YASHWANT SINGH,Bharatiya Janata Party,367825,1
Uttar Pradesh,Nagina,YASHVIR SINGH,Samajwadi Party,275435,2
West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,Indian National Congress,583549,1
West Bengal,Baharampur,INDRANIL SEN,All India Trinamool Congress,226982,2
West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,All India Trinamool Congress,574660,1
West Bengal,Bardhaman Purba,ISWAR CHANDRA DAS,Communist Party of India  (Marxist),460181,2
West Bengal,Mathurapur,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,627761,1
West Bengal,Mathurapur,RINKU NASKAR,Communist Party of India  (Marxist),489325,2
West Bengal,Raiganj,MD. SALIM,Communist Party of India  (Marxist),317515,1
West Bengal,Raiganj,DEEPA DASMUNSI,Indian National Congress,315881,2
Andhra Pradesh,Anantapur,J.C. DIVAKAR REDDI,Telugu Desam,606509,1
Andhra Pradesh,Anantapur,ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,545240,2
Andhra Pradesh,Bhongir,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,448245,1
Andhra Pradesh,Bhongir,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,417751,2
Andhra Pradesh,Khammam,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,421957,1
Andhra Pradesh,Khammam,NAMA NAGESWARA RAO,Telugu Desam,409983,2
Bihar,Sitamarhi,RAM KUMAR SHARMA,Rashtriya Lok Samta Party,411265,1
Bihar,Sitamarhi,SITARAM YADAV,Rashtriya Janata Dal,263300,2
Bihar,Ujiarpur,NITYANAND RAI,Bharatiya Janata Party,317352,1
Bihar,Ujiarpur,ALOK KUMAR MEHTA,Rashtriya Janata Dal,256883,2
Chhattisgarh,DURG,TAMRADHWAJ SAHU,Indian National Congress,570687,1
Chhattisgarh,DURG,SAROJ PANDEY,Bharatiya Janata Party,553839,2
Gujarat,Patan,LILADHARBHAI KHODAJI VAGHELA,Bharatiya Janata Party,518538,1
Gujarat,Patan,RATHOD BHAVSINHBHAI DAHYABHAI,Indian National Congress,379819,2
Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,552205,1
Gujarat,Sabarkantha,SHANKERSINH VAGHELA BAPU,Indian National Congress,467750,2
Karnataka,Chikkballapur,M VEERAPPA MOILY,Indian National Congress,424800,1
Karnataka,Chikkballapur,B N BACHE GOWDA,Bharatiya Janata Party,415280,2
Karnataka,Chitradurga,B.N.CHANDRAPPA,Indian National Congress,467511,1
Karnataka,Chitradurga,JANARDHANA SWAMY,Bharatiya Janata Party,366220,2
Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,Bharatiya Janata Party,642739,1
Karnataka,Dakshina Kannada,JANARDHANA POOJARY,Indian National Congress,499030,2
Madhya Pradesh,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,596727,1
Madhya Pradesh,RAJGARH,AMLABE NARAYAN SINGH,Indian National Congress,367990,2
Madhya Pradesh,REWA,JANARDAN MISHRA,Bharatiya Janata Party,383320,1
Madhya Pradesh,REWA,SUNDERLAL TIWARI,Indian National Congress,214594,2
Madhya Pradesh,SHAHDOL,DALPAT SINGH PARASTE,Bharatiya Janata Party,525419,1
Madhya Pradesh,SHAHDOL,RAJES NANDINI SINGH,Indian National Congress,284118,2
Maharashtra,Chimur,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,535982,1
Maharashtra,Chimur,DR. NAMDEO DALLUJI USENDI,Indian National Congress,299112,2
Maharashtra,Jalna,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,591428,1
Maharashtra,Jalna,AUTADE VILAS KESHAVRAO,Indian National Congress,384630,2
Maharashtra,Wardha,RAMDAS CHANDRABHANJI TADAS,Bharatiya Janata Party,537518,1
Maharashtra,Wardha,MEGHE SAGAR DATTATRAYA,Indian National Congress,321735,2
Odisha,Bargarh,PRABHAS KUMAR SINGH,Biju Janata Dal,383230,1
Odisha,Bargarh,SUBASH CHOUHAN,Bharatiya Janata Party,372052,2
Rajasthan,Jhunjhunu,SANTOSH AHLAWAT,Bharatiya Janata Party,488182,1
Rajasthan,Jhunjhunu,RAJ BALA OLA,Indian National Congress,254347,2
Tamil Nadu,Chidambaram,"CHANDRAKASI, M",All India Anna Dravida Munnetra Kazhagam,429536,1
Tamil Nadu,Chidambaram,"THIRUMAAVALAVAN, THOL",Viduthalai Chiruthaigal Katchi,301041,2
Uttar Pradesh,Aligarh,SATISH KUMAR,Bharatiya Janata Party,514622,1
Uttar Pradesh,Aligarh,DR. ARVIND KUMAR SINGH,Bahujan Samaj Party,227886,2
Uttar Pradesh,Ambedkar Nagar,HARI OM PANDEY,Bharatiya Janata Party,432104,1
Uttar Pradesh,Ambedkar Nagar,RAKESH PANDEY,Bahujan Samaj Party,292675,2
Uttar Pradesh,Ghosi,HARINARAYAN RAJBHAR,Bharatiya Janata Party,379797,1
Uttar Pradesh,Ghosi,DARA SINGH CHAUHAN,Bahujan Samaj Party,233782,2
Uttar Pradesh,Gorakhpur,ADITYANATH,Bharatiya Janata Party,539127,1
Uttar Pradesh,Gorakhpur,RAJMATI NISHAD,Samajwadi Party,226344,2
Uttar Pradesh,Kairana,HUKUM SINGH,Bharatiya Janata Party,565909,1
Uttar Pradesh,Kairana,NAHID HASAN,Samajwadi Party,329081,2
Uttar Pradesh,Kanpur,DR.MURLI MANOHAR JOSHI,Bharatiya Janata Party,474712,1
Uttar Pradesh,Kanpur,SRIPRAKASH JAISWAL,Indian National Congress,251766,2
Uttar Pradesh,Muzaffarnagar,(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janata Party,653391,1
Uttar Pradesh,Muzaffarnagar,KADIR RANA,Bahujan Samaj Party,252241,2
Uttar Pradesh,Sant Kabir Nagar,SHARAD TRIPATHI,Bharatiya Janata Party,348892,1
Uttar Pradesh,Sant Kabir Nagar,BHISM SHANKAR ALIAS KUSHAL TIWARI,Bahujan Samaj Party,250914,2
Uttar Pradesh,Varanasi,NARENDRA MODI,Bharatiya Janata Party,581022,1
Uttar Pradesh,Varanasi,ARVIND KEJRIWAL,Aam Aadmi Party,209238,2
West Bengal,Basirhat,IDRIS ALI,All India Trinamool Congress,492326,1
West Bengal,Basirhat,NURUL HUDA,Communist Party of India,382667,2
Andhra Pradesh,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,513868,1
Andhra Pradesh,Hyderabad,DR.BHAGAVANTH RAO,Bharatiya Janata Party,311414,2
Andhra Pradesh,Kakinada,THOTA NARASIMHAM,Telugu Desam,514402,1
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,510971,2
Andhra Pradesh,Rajahmundry,MURALI MOHAN MAGANTI,Telugu Desam,630573,1
Andhra Pradesh,Rajahmundry,BODDU VENKATARAMANA CHOWDARY,Yuvajana Sramika Rythu Congress Party,463139,2
Assam,Autonomous District,BIREN SINGH ENGTI,Indian National Congress,213152,1
Assam,Autonomous District,JOY RAM ENGLENG,Bharatiya Janata Party,189057,2
Bihar,Gaya (SC),HARI MANJHI,Bharatiya Janata Party,326230,1
Bihar,Gaya (SC),RAMJI MANJHI,Rashtriya Janata Dal,210726,2
Bihar,Gopalganj (SC),JANAK RAM,Bharatiya Janata Party,478773,1
Bihar,Gopalganj (SC),DR. JYOTI BHARTI,Indian National Congress,191837,2
Bihar,Muzaffarpur,AJAY NISHAD,Bharatiya Janata Party,469295,1
Bihar,Muzaffarpur,AKHILESH PD SINGH,Indian National Congress,246873,2
Daman & Diu,Daman & diu,PATEL LALUBHAI BABUBHAI,Bharatiya Janata Party,46960,1
Daman & Diu,Daman & diu,KETAN DAHYABHAI PATEL,Indian National Congress,37738,2
Gujarat,Ahmedabad West,DR. KIRIT P SOLANKI,Bharatiya Janata Party,617104,1
Gujarat,Ahmedabad West,ISHWARBAHI DHANABHAI MAKWANA,Indian National Congress,296793,2
Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,Bharatiya Janata Party,362824,1
Himachal Pradesh,Mandi,PRATIBHA SINGH,Indian National Congress,322968,2
Jharkhand,Chatra,SUNIL KUMAR SINGH,Bharatiya Janata Party,295862,1
Jharkhand,Chatra,DHIRAJ PRASAD SAHU,Indian National Congress,117836,2
Karnataka,Chikkodi,PRAKASH BABANNA HUKKERI,Indian National Congress,474373,1
Karnataka,Chikkodi,KATTI RAMESH VISHWANATH,Bharatiya Janata Party,471370,2
Karnataka,Tumkur,MUDDAHANUMEGOWDA.S.P.,Indian National Congress,429868,1
Karnataka,Tumkur,G.S.BASAVARAJ,Bharatiya Janata Party,355827,2
Maharashtra,Aurangabad,CHANDRAKANT BHAURAO KHAIRE,Shivsena,520902,1
Maharashtra,Aurangabad,PATIL NITIN SURESH,Indian National Congress,358902,2
Maharashtra,Beed,MUNDE GOPINATHRAO PANDURANG,Bharatiya Janata Party,635995,1
Maharashtra,Beed,DHAS SURESH RAMCHANDRA,Nationalist Congress Party,499541,2
Maharashtra,Mumbai North East,KIRIT  SOMAIYA,Bharatiya Janata Party,525285,1
Maharashtra,Mumbai North East,SANJAY DINA PATIL,Nationalist Congress Party,208163,2
Maharashtra,sindhudurg,VINAYAK BHAURAO RAUT,Shivsena,493088,1
Maharashtra,sindhudurg,NILESH NARAYAN RANE,Indian National Congress,343037,2
Odisha,Aska,LADU KISHORE SWAIN,Biju Janata Dal,541473,1
Odisha,Aska,SRILOKANATH RATHA,Indian National Congress,229476,2
Punjab,Bathinda,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,514727,1
Punjab,Bathinda,MANPREET SINGH BADAL S/O GURDAS SINGH,Indian National Congress,495332,2
Punjab,Fatehgarh Sahib,HARINDER SINGH KHALSA,Aam Aadmi Party,367293,1
Punjab,Fatehgarh Sahib,SADHU SINGH,Indian National Congress,313149,2
Tamil Nadu,Arakkonam,"HARI, G.",All India Anna Dravida Munnetra Kazhagam,493534,1
Tamil Nadu,Arakkonam,"ELANGO, N.R",Dravida Munnetra Kazhagam,252768,2
Tamil Nadu,Ramanathapuram,ANWHAR RAAJHAA.A,All India Anna Dravida Munnetra Kazhagam,405945,1
Tamil Nadu,Ramanathapuram,MOHAMED JALEEL .S,Dravida Munnetra Kazhagam,286621,2
Tamil Nadu,Thiruvallur,VENUGOPAL.P.(DR),All India Anna Dravida Munnetra Kazhagam,628499,1
Tamil Nadu,Thiruvallur,RAVIKUMAR.D,Viduthalai Chiruthaigal Katchi,305069,2
Uttar Pradesh,Agra,DR. RAM SHANKAR KATHERIA,Bharatiya Janata Party,583716,1
Uttar Pradesh,Agra,NARAYAN SINGH SUMAN,Bahujan Samaj Party,283453,2
Uttar Pradesh,Badaun,DHARMENDRA YADAV,Samajwadi Party,498378,1
Uttar Pradesh,Badaun,VAGISH PATHAK,Bharatiya Janata Party,332031,2
Uttar Pradesh,Baghpat,DR. SATYA PAL SINGH,Bharatiya Janata Party,423475,1
Uttar Pradesh,Baghpat,GHULAM MOHAMMED,Samajwadi Party,213609,2
Uttar Pradesh,Deoria,KALRAJ MISHRA,Bharatiya Janata Party,496500,1
Uttar Pradesh,Deoria,NIYAJ AHMAD,Bahujan Samaj Party,231114,2
Uttar Pradesh,Hardoi,ANSHUL VERMA,Bharatiya Janata Party,360501,1
Uttar Pradesh,Hardoi,SHIVE PRASAD VERMA,Bahujan Samaj Party,279158,2
Uttar Pradesh,Misrikh,ANJU BALA,Bharatiya Janata Party,412575,1
Uttar Pradesh,Misrikh,ASHOK KUMAR RAWAT,Bahujan Samaj Party,325212,2
Uttar Pradesh,Pratapgarh,KUWAR HARIVANSH SINGH,Apna Dal,375789,1
Uttar Pradesh,Pratapgarh,ASIF NIZAMUDDIN SIDDIQUE,Bahujan Samaj Party,207567,2
Uttar Pradesh,Robertsganj,CHHOTELAL,Bharatiya Janata Party,378211,1
Uttar Pradesh,Robertsganj,SHARADA PRASAD,Bahujan Samaj Party,187725,2
Uttar Pradesh,Shrawasti,DADDAN MISHRA,Bharatiya Janata Party,345964,1
Uttar Pradesh,Shrawasti,ATIQ AHMAD,Samajwadi Party,260051,2
Uttar Pradesh,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,518834,1
Uttar Pradesh,Unnao,ARUN SHANKAR SHUKLA,Samajwadi Party,208661,2
West Bengal,Hooghly,DR. RATNA DE (NAG),All India Trinamool Congress,614312,1
West Bengal,Hooghly,PRADIP SAHA,Communist Party of India  (Marxist),425228,2
West Bengal,Kolkata Uttar,SUDIP BANDYOPADHYAY,All India Trinamool Congress,343687,1
West Bengal,Kolkata Uttar,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,247461,2
West Bengal,Ranaghat,TAPAS MANDAL,All India Trinamool Congress,590451,1
West Bengal,Ranaghat,ARCHANA BISWAS,Communist Party of India  (Marxist),388684,2
Andhra Pradesh,Guntur,JAYADEV GALLA,Telugu Desam,618417,1
Andhra Pradesh,Guntur,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,549306,2
Andhra Pradesh,Mahabubabad,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,320569,1
Andhra Pradesh,Mahabubabad,P. BALRAM,Indian National Congress,285577,2
Assam,Barpeta,SIRAJ UDDIN AJMAL,All India United Democratic Front,394702,1
Assam,Barpeta,CHANDRA MOHAN PATOWARY,Bharatiya Janata Party,352361,2
Assam,Kaliabor,GOURAV GOGOI,Indian National Congress,443315,1
Assam,Kaliabor,MRINAL KUMAR SAIKIA,Bharatiya Janata Party,349441,2
Assam,Nowgong,RAJEN GOHAIN,Bharatiya Janata Party,494146,1
Assam,Nowgong,JONJONALI BARUAH,Indian National Congress,350587,2
Chhattisgarh,KANKER,VIKRAM DEV USENDI,Bharatiya Janata Party,465215,1
Chhattisgarh,KANKER,FOOLODEVI NETAM,Indian National Congress,430057,2
Gujarat,Dahod,JASVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,511111,1
Gujarat,Dahod,TAVIYAD DR. PRABHABEN KISHORSINH,Indian National Congress,280757,2
Gujarat,Navsari,C. R. PATIL,Bharatiya Janata Party,820831,1
Gujarat,Navsari,MAKSUD MIRZA,Indian National Congress,262715,2
Haryana,Gurgaon,INDERJIT SINGH RAO,Bharatiya Janata Party,644780,1
Haryana,Gurgaon,ZAKIR HUSSAIN,Indian National Lok Dal,370058,2
Karnataka,Haveri,UDASI SHIVAKUMAR CHANNABASAPPA,Bharatiya Janata Party,566790,1
Karnataka,Haveri,SALEEM  AHMED,Indian National Congress,479219,2
Kerala,Kannur,P K SREEMATHI TEACHER,Communist Party of India  (Marxist),427622,1
Kerala,Kannur,K SUDHAKARAN,Indian National Congress,421056,2
Kerala,Pathanamthitta,ANTO ANTONY,Indian National Congress,358842,1
Kerala,Pathanamthitta,ADV. PEELIPOSE THOMAS,Independent,302651,2
Madhya Pradesh,BALAGHAT,BODHSINGH BHAGAT,Bharatiya Janata Party,480594,1
Madhya Pradesh,BALAGHAT,HINA LIKHIRAM KAWRE,Indian National Congress,384553,2
Madhya Pradesh,TIKAMGARH,DR. VIRENDRA KUMAR,Bharatiya Janata Party,422979,1
Madhya Pradesh,TIKAMGARH,AHIRWAR DR. KAMLESH VERMA,Indian National Congress,214248,2
Maharashtra,Satara,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,Nationalist Congress Party,522531,1
Maharashtra,Satara,PURUSHOTTAM JADHAV,Independent,155937,2
Rajasthan,Ganganagar,NIHALCHAND,Bharatiya Janata Party,658130,1
Rajasthan,Ganganagar,MASTER BHANWARLAL MEGHWAL,Indian National Congress,366389,2
Tamil Nadu,Chennai South,DR. J. JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,438404,1
Tamil Nadu,Chennai South,T.K.S.ELANGOVAN,Dravida Munnetra Kazhagam,301779,2
Tamil Nadu,Coimbatore,"NAGARAJAN, P.",All India Anna Dravida Munnetra Kazhagam,431717,1
Tamil Nadu,Coimbatore,"RADHAKRISHNAN, C.P.",Bharatiya Janata Party,389701,2
Tamil Nadu,Nagapattinam,GOPAL. DR. K,All India Anna Dravida Munnetra Kazhagam,434174,1
Tamil Nadu,Nagapattinam,VIJAYAN. A.K.S,Dravida Munnetra Kazhagam,328095,2
Uttar Pradesh,Bulandshahr,BHOLA SINGH,Bharatiya Janata Party,604449,1
Uttar Pradesh,Bulandshahr,PRADEEP KUMAR JATAV,Bahujan Samaj Party,182476,2
Uttar Pradesh,Firozabad,AKSHAY YADAV,Samajwadi Party,534583,1
Uttar Pradesh,Firozabad,PROF. S.P. SINGH BAGHEL,Bharatiya Janata Party,420524,2
Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH,Bharatiya Janata Party,359643,1
Uttar Pradesh,Gonda,NANDITA SHUKLA,Samajwadi Party,199227,2
West Bengal,Howrah,PRASUN BANERJEE,All India Trinamool Congress,488461,1
West Bengal,Howrah,SRIDIP BHATTACHARYA,Communist Party of India  (Marxist),291505,2
West Bengal,Uluberia,SULTAN AHMED,All India Trinamool Congress,570785,1
West Bengal,Uluberia,SABIR UDDIN MOLLA,Communist Party of India  (Marxist),369563,2
Andhra Pradesh,Machilipatnam,KONAKALLA NARAYANA RAO,Telugu Desam,587280,1
Andhra Pradesh,Machilipatnam,KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,506223,2
Andhra Pradesh,Vizianagaram,ASHOK GAJAPATHI RAJU PUSAPATI,Telugu Desam,536549,1
Andhra Pradesh,Vizianagaram,VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,Yuvajana Sramika Rythu Congress Party,429638,2
Bihar,Katihar,TARIQ ANWAR,Nationalist Congress Party,431292,1
Bihar,Katihar,NIKHIL KUMAR CHOUDHARY,Bharatiya Janata Party,316552,2
Bihar,Kishanganj,MOHAMMAD ASRARUL HAQUE,Indian National Congress,493461,1
Bihar,Kishanganj,DR DILIP  KUMAR JAISWAL,Bharatiya Janata Party,298849,2
Gujarat,Anand,DILIP PATEL,Bharatiya Janata Party,490829,1
Gujarat,Anand,SOLANKI BHARATBHAI MADHAVSINH,Indian National Congress,427403,2
